时间,数值
2025-07-27 15:15:19.775,2825.0
2025-07-27 15:15:19.775,3145.0
2025-07-27 15:15:19.776,3085.0
2025-07-27 15:15:19.776,2825.0
2025-07-27 15:15:19.844,2995.0
2025-07-27 15:15:19.845,2955.0
2025-07-27 15:15:19.845,2970.0
2025-07-27 15:15:19.846,2735.0
2025-07-27 15:15:19.848,2830.0
2025-07-27 15:15:19.848,3030.0
2025-07-27 15:15:19.849,3095.0
2025-07-27 15:15:19.849,2860.0
2025-07-27 15:15:19.850,2795.0
2025-07-27 15:15:19.850,3000.0
2025-07-27 15:15:19.875,3035.0
2025-07-27 15:15:19.876,2850.0
2025-07-27 15:15:19.877,2800.0
2025-07-27 15:15:19.878,3080.0
2025-07-27 15:15:19.878,3105.0
2025-07-27 15:15:19.879,2860.0
2025-07-27 15:15:19.908,3040.0
2025-07-27 15:15:19.910,2940.0
2025-07-27 15:15:19.910,2975.0
2025-07-27 15:15:19.911,2730.0
2025-07-27 15:15:19.911,2775.0
2025-07-27 15:15:19.942,3010.0
2025-07-27 15:15:19.943,3185.0
2025-07-27 15:15:19.944,2925.0
2025-07-27 15:15:19.944,2945.0
2025-07-27 15:15:19.945,2965.0
2025-07-27 15:15:19.976,2890.0
2025-07-27 15:15:19.977,2810.0
2025-07-27 15:15:19.978,2850.0
2025-07-27 15:15:19.979,3175.0
2025-07-27 15:15:19.979,3075.0
2025-07-27 15:15:19.980,2840.0
2025-07-27 15:15:20.010,2990.0
2025-07-27 15:15:20.011,2915.0
2025-07-27 15:15:20.012,2985.0
2025-07-27 15:15:20.013,2720.0
2025-07-27 15:15:20.013,2815.0
2025-07-27 15:15:20.044,3015.0
2025-07-27 15:15:20.045,3130.0
2025-07-27 15:15:20.046,2870.0
2025-07-27 15:15:20.047,2770.0
2025-07-27 15:15:20.047,2995.0
2025-07-27 15:15:20.078,3025.0
2025-07-27 15:15:20.080,2870.0
2025-07-27 15:15:20.080,2785.0
2025-07-27 15:15:20.081,3065.0
2025-07-27 15:15:20.082,3095.0
2025-07-27 15:15:20.082,2860.0
2025-07-27 15:15:20.112,3010.0
2025-07-27 15:15:20.113,2955.0
2025-07-27 15:15:20.114,2995.0
2025-07-27 15:15:20.115,2740.0
2025-07-27 15:15:20.115,2835.0
2025-07-27 15:15:20.145,3050.0
2025-07-27 15:15:20.146,3145.0
2025-07-27 15:15:20.147,2905.0
2025-07-27 15:15:20.148,2915.0
2025-07-27 15:15:20.148,2950.0
2025-07-27 15:15:20.179,2890.0
2025-07-27 15:15:20.180,2785.0
2025-07-27 15:15:20.182,2825.0
2025-07-27 15:15:20.182,3140.0
2025-07-27 15:15:20.183,3045.0
2025-07-27 15:15:20.183,2825.0
2025-07-27 15:15:20.213,2770.0
2025-07-27 15:15:20.214,2985.0
2025-07-27 15:15:20.215,3115.0
2025-07-27 15:15:20.215,2820.0
2025-07-27 15:15:20.216,2920.0
2025-07-27 15:15:20.247,2940.0
2025-07-27 15:15:20.248,3010.0
2025-07-27 15:15:20.249,2825.0
2025-07-27 15:15:20.249,2780.0
2025-07-27 15:15:20.250,3005.0
